ID товара,Название препарата,Рецептурность препарата,Производитель,Активное вещество,Текущая цена,Старая цена,Ссылка на картинку,Ссылка на товар,Название региона
632679,Росинсулин Аспарт Р Раствор для внутривенного и подкожного введения картридж 100 МЕ/мл 3 мл 5 шт,По рецепту,МЕДСИНТЕЗ ЗАВОД,Инсулин двухфазный [человеческий генно-инженерный],1893,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAIQAAACECAYAAABRRIOnAAAACXBIWXMAAAsTAAALEwEAmpwYAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAbcSURBVHgB7Z1rS+NAFIZnV1EU74qiKCqKfvL//xBBUSwoiqKoKIqiKLv7hh3IOebSNEnnkvcBCa0NLc3TmTNnzkx+/fmHIeQ/vw0hKSgEEVAIIqAQREAhiIBCEAGFIAIKQQQUgggoBBFQCCKgEERAIYiAQhABhSACCkEEFIIIKAQRUAgioBBEQCGIgEIQAYUgAgpBBKMmIr6/v83Hx0dyHJSRkREzPj6eHLtIFEK8vLyYm5ub5NgUi4uLZm1tzYyNjZku8Sv0pXzX19eJDG2AVmJvb89MTk6arhB0DPH5+dmaDABdT6/Xq9UFhUbQQqB1aBtId39/b7pC0DHE09OTeIz+fmNjo1ZAiKD06upKtAqITVZWVkwXCFoI3ZQjEJybmzN1mJ6eNq+vr+bh4SH3fWKGeQgioBBEQCGIgEIQAYUgAgpBBFFNbiFr2WbmsgsE2UIgLzCMLKXl/f1d5CViJrjJrdvb26QVcJEsQiYUM6BIgMVKMEJgTuH8/LzRKe5BWV5eTlLkMRKEEJDh5OQkOeYxMTGR/KG4pS5vb29JN1H2fvv7+9EV0ngvRJEMuBj4teJvdLT5+BgTXYhVHh8fM/8/NTWVSBET3gtxdHSU/Fo1kGB1dbUVETQQ4/Ly0jw/P5uszxFT9+H1KAO/ziwZNjc3k4swDBkAuqHd3d1EQM3d3Z0XcU1TeCtEXjXU+vq6WVpaMi7ACCNLCgS7seCtEFl5BlwM14UqkAKxQxrIG0uewlshdDNscwA+sLW19eO5WMrsvBQCpXF6VJHVVLsCMcXCwoJ4DlVWMVRWeSlEVpCG0jafyIpjdI1niHgphB5ZoM9uIuHUJBBUJ6WQ0AodL4XQX6yvC2X0qi7kK0LHSyF0X+xreliLGkMMEUQ9BAJMH5M/RXMdoRKEEBjjd6UewTUsoSMCCkEEFIIIgoghkBV0NaFVBMr5sqbEQyYIIZCU8i1TCaoGushT+JZg00RVhl8GUstIemGFeNvJLuQkIAyGy/hL5yiQ0ML743P4VrDbGSHSWw/hiK2C2mp1yirDkb/AHwTF5/KpkrszQaWeeGojr4GLfHp6+mPDkbJzUGBzdnbmRaazM0IM48uuk1FFcIpiYtdSdCqGcAHmYWZnZ5OYATWgX19fiTRZoxPM8qKlcFnJTSFaJK8yHGWAeSX+KLRBDOKqVDBKIfpZ7qfnR+yGZXX3qLKgMrwod4Lh5/b2dnLUxcR4jHNdzPJGF0OgOa4S1FlscFclGMyLF8pkSIMRBlqSNPgMrmo0oxOizpS03Su7n/fIW01WRQYLpNCtgatyvOiEQJM/6P7UNmFURNMyAMigu6qsBUrDILoYwu5PjV9YuvnHCqv0YyzWTV8EnFeWHGpDBguSZHpvTBep7iiDSnyJOkrHl50WAi1BlXUebcoAfCkT5PR3H7QtA/ClHpNClFC2HcHMzIxpgqwSfhczo50RQgea/TTRZRuV4FddtpFJv+hRhV4/Oiw6IwTWY1op8GXrsb+mn11rqryuCCTS9PlNJciq0pnUNZrfg4ODvl5bdJFRvaXTzfb1mIOoOuTF8BKJNI0rIRhDKMoCSKSbcaxyXh6QAedo0Hq5qqwKZl0GJn2GAYK7rIg/PZqwx4uLC/GaKi2FlUG/F85zudI9mJVbLldJZQ0t60hRJAOSasPaKikLdhklFOUZ8HzV7iNPBox6dnZ2nBfhUogC+kk6VZGiSAZfbgcZRJeBprStG6rmdUdVMpD9dB82Z+GzDCAIIexddtvg8PDwx3OD7HRXJgVE8F0G0OkSOowodOuAPMOg5WtFUmh8vWtwp2OIrCKUui1RXkyRxudbSHdaCF2EgjiliSgfUuTlEny/n3inhcjKAzQBRENBjiaEm8sHIcSwagWaaB1CGFoW4WVQiV9qOhBD6hqPm64q0gW1dbcVDF0G4KUQGGam1yrgCx5GFTIuKN5rEPFikAF42WVg2NdWIqoM1CZUJRYZgJdC2C/ShRQIBgeZwo5BBuD1HXXQx2N1lI0h2iArgwgR+5nCxmfr9XrRyACCu01j0+Bi4jZOWjhcVLvWU8cUOMeuH9WELAPovBAAo4vj4+PM/+EC4+La1qJoTWfoMgAK8R8srtVzEFWAMKhnCFkGQCFSoKVATFA1XsGyQB+KW5qAQijsRh7Y4aUsQ2rvG+rLrZ+agELkgK1/kAxDvJAuooEEWNcxPz+ftAwu6x/bgEIQAWsqiYBCEAGFIAIKQQQUgggoBBFQCCKgEERAIYiAQhABhSACCkEEFIIIKAQRUAgioBBEQCGIgEIQAYUgAgpBBBSCCCgEEVAIIqAQREAhiIBCEAGFIAIKQQQUgggoBBH8BR9oEQSYvThMAAAAAElFTkSuQmCC",https://gorzdrav.org/p/rosinsulin-aspart-r-100me-ml-3ml-n5-kartridzh-rr-v-v-p-k-632679/,Москва
204112,Сигдуо Лонг® Таблетки с модифицированным высвобождением покрытые пленочной оболочкой 10 мг+1000 мг 30 шт,По рецепту,AstraZeneca,Дапаглифлозин+Метформин,3357,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/K_URoZcB2BGN4fsdPg0s-300x300,https://gorzdrav.org/p/sigduo-long-tabl-p-o-s-modif-vysvob-10mg-1000mg-30-204112/,Москва
618299,Диаглинид Таблетки 2 мг 30 шт,По рецепту,Акрихин,Репаглинид,163,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/pBeIyJkBu6LHc-yHzS-5-300x143,https://gorzdrav.org/p/diaglinid-tab-2mg-30-618299/,Москва
40808,Глимепирид-Вертекс Таблетки 4 мг 30 шт,По рецепту,Вертекс,Глимепирид,455,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/NlbctZUBrbRC1cy5eyOL-300x300,https://gorzdrav.org/p/glimepirid-verte-tabl-4mg-n30-40808/,Москва
41375,Октолипен Таблетки 600 мг 30 шт,По рецепту,Фармстандарт,Тиоктовая кислота,823,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/BufitZUBybk0vr4zTxv--300x300,https://gorzdrav.org/p/oktolipen-tabl-p-pl-ob-600mg-n30-41375/,Москва
667566,Глимепирид Таблетки 4 мг 30 шт,По рецепту,Пранафарм,Глимепирид,468,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/0LIsTZwBbjLDJSEjTBAu-300x203,https://gorzdrav.org/p/glimepirid-tabl-4mg-n30-667566/,Москва
70029,Глимепирид-ФС 2 мг 30 шт,По рецепту,Фармстандарт,Глимепирид,43,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/9HSft5UBybk0vr4znZN0-300x162,https://gorzdrav.org/p/glimepirid-tab-2mg-30-70029/,Москва
652119,Илдиглип Таблетки 50 мг 30 шт,По рецепту,ИЗВАРИНО ФАРМА,,741,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/L45qu5UBAi6hE-Zk4Vlb-300x216,https://gorzdrav.org/p/ildiglip-0-05-n30-tabl-652119/,Москва
37497,Глюкофаж Лонг 750 мг Таблетки пролонгированного действия 30 шт,По рецепту,Нанолек,Метформин,288,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/9wm5tZUB4hniyrJCxES7-300x300,https://gorzdrav.org/p/gljukofazh-long-tabl-p-o-750mg-n30-37497/,Москва
35642,"Минирин Таблетки 0,1 мг 30 шт",По рецепту,Фармстандарт,Десмопрессин,854,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/1fyptZUBrbRC1cy5lNJ5-300x300,https://gorzdrav.org/p/minirin-tabl-0-1mg-n30-35642/,Москва
